Connecting to host 10.0.0.6, port 5201
[  7] local 10.0.0.1 port 57460 connected to 10.0.0.6 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   9.00-9.10   sec  0.00 Bytes  0.00 bits/sec    2   7.07 KBytes       
[  7]   9.10-9.20   sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[  7]   9.20-9.30   sec  52.3 KBytes  4.28 Mbits/sec    3   5.66 KBytes       
[  7]   9.30-9.40   sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[  7]   9.40-9.50   sec  0.00 Bytes  0.00 bits/sec    1   5.66 KBytes       
[  7]   9.50-9.60   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  7]   9.60-9.70   sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  7]   9.70-9.80   sec  55.1 KBytes  4.52 Mbits/sec    2   5.66 KBytes       
[  7]   9.80-9.90   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  7]   9.90-10.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  7]   0.00-10.00  sec  1.03 MBytes   868 Kbits/sec   85             sender
[  7]   0.00-10.02  sec   974 KBytes   797 Kbits/sec                  receiver

iperf Done.
Connecting to host 10.0.0.6, port 5201
[  8] local 10.0.0.1 port 57464 connected to 10.0.0.6 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-0.10   sec  77.8 KBytes  6.32 Mbits/sec    1   14.1 KBytes       
[  8]   0.10-0.20   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  8]   0.20-0.30   sec  42.4 KBytes  3.47 Mbits/sec    0   15.6 KBytes       
[  8]   0.30-0.40   sec  0.00 Bytes  0.00 bits/sec    1   9.90 KBytes       
[  8]   0.40-0.50   sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[  8]   0.50-0.60   sec  0.00 Bytes  0.00 bits/sec    1   7.07 KBytes       
[  8]   0.60-0.70   sec  46.7 KBytes  3.80 Mbits/sec    0   8.48 KBytes       
[  8]   0.70-0.80   sec  0.00 Bytes  0.00 bits/sec    2   7.07 KBytes       
[  8]   0.80-0.90   sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]   0.90-1.00   sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]   1.00-1.10   sec  41.0 KBytes  3.42 Mbits/sec    2   5.66 KBytes       
[  8]   1.10-1.20   sec  0.00 Bytes  0.00 bits/sec    2   5.66 KBytes       
[  8]   1.20-1.30   sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]   1.30-1.40   sec  80.6 KBytes  6.62 Mbits/sec    4   5.66 KBytes       
[  8]   1.40-1.50   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   1.50-1.60   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   1.60-1.70   sec  0.00 Bytes  0.00 bits/sec    4   2.83 KBytes       
[  8]   1.70-1.80   sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[  8]   1.80-1.90   sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[  8]   1.90-2.00   sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[  8]   2.00-2.10   sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[  8]   2.10-2.20   sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[  8]   2.20-2.30   sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[  8]   2.30-2.40   sec  83.4 KBytes  6.86 Mbits/sec    0   7.07 KBytes       
[  8]   2.40-2.50   sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]   2.50-2.60   sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]   2.60-2.70   sec  0.00 Bytes  0.00 bits/sec    2   5.66 KBytes       
[  8]   2.70-2.80   sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]   2.80-2.90   sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[  8]   2.90-3.00   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   3.00-3.10   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   3.10-3.20   sec  83.4 KBytes  6.86 Mbits/sec    2   4.24 KBytes       
